energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
9.53,,0.000000081,0.000000005,G,197.43,187.9,[E3],,,4.00E+07,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
23.54,0.05,0.16887,0.02671887,G,23.56,0,(M1+E2),0.1,3,93,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
23.54,0.05,0.0007794,0.000261391,G,197.43,173.74,[M2],,,8.70E+03,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
42.29,0.05,0.07361,0.021820195,G,65.88,23.56,E2,,,194,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
65.86,0.03,5.8022,0.371264017,G,65.88,0,M1+E2,1.1,3,13,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
69.7,0.3,,,G,93.31,23.56,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
93.3,0.05,0.026846,0.009146951,G,93.31,0,[M1 E2],,,5.6,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
94.59,0.04,0.105219,0.008324714,G,187.9,93.31,[M1 E2],,,5.4,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
107.85,0.02,0.40702,0.033836337,G,173.74,65.88,M1+E2,1.2,5,3.34,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
122.05,0.07,0.101755,0.008265708,G,187.9,65.88,[M1 E2],,,2.3,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
131.55,0.02,4.33,0.206092237,G,197.43,65.88,E3,,,19.8,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
164.33,0.02,0.58888,0.033888907,G,187.9,23.56,[E2],,,0.614,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
173.68,0.02,3.26482,0.151070429,G,173.74,0,E2,,,0.506,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
187.88,0.02,0.81404,0.045877402,G,187.9,0,[M1 E2],,,0.6,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
10.063,,0.012726895,0.000668762,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
59.718,,0.011961131,0.000474528,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
61.141,,0.020693999,0.000816089,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
69.395,,0.006878802,0.000290961,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
70.206,,0.00878423,0.000369961,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
71.195,,0.001905428,8.76281E-05,X,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,01/02/2024
9.74,,43.71996199,3.315700998,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
57.983,,2.370169794,0.122540682,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
59.32,,4.117022397,0.212102946,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
67.335,,1.364652674,0.073359587,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
68.117,,1.738567507,0.093210707,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
69.068,,0.373914833,0.021227061,X,,,,,,,,74,111,W,,197.383,0.023,11/2+,1.67,,3,m,100.2,1.8,IT,100,,,,74,111,W,01-Nov-05,S. -C. WU,01/02/2024
