File name:,areas,efficiencies,real time
23cm_133Ba.Spe,"[780.0672740245055, 3604.4768783953778, 3604.350121959332, 297.05309424849753, 604.7137468781332, 1635.877276036973, 216.55402614616477]","[0.33433351376735454, 1.2972135838247052, 0.09978215119286159, 0.03911934669468635, 0.031106984413450983, 0.024858760426671934, 0.022840167197771575]",817.0
23cm_152Eu(7Nov).Spe,"[22050.472457297354, 2967.6036618039234, 6038.025831708441, 1120.7965614652735, 987.6619478928625, 608.929341404386, 760.5878902672803, 869.7351545870467]","[0.08104793753397586, 0.04111034630624255, 0.023899033667237828, 0.009098688700198001, 0.007101406916544333, 0.006265091987986689, 0.005857621816804565, 0.004348578006822524]",1939.0
23cm_152Eu.Spe,"[11227.912406553498, 1534.23389765217, 3169.7722058481777, 579.5240045116932, 519.5480630779203, 327.0728147265692, 396.33255858664313, 436.925052992932]","[0.08010041068758526, 0.04125232867340681, 0.024351464553856596, 0.009131352423688906, 0.007250591966537065, 0.0065315560446257345, 0.0059243857955964445, 0.004240126822311572]",999.0
23cm_241Am.Spe,"[1078.33528412822, 30890.763458201898]","[0.04472786235621243, 0.08556302646425865]",273.0
23cm_60Co.Spe,"[4538.435263217255, 3844.7223263277638]","[0.006926600743315221, 5.867145575248896e-05]",1678.0
82mm_133Ba.Spe,"[998.9784780931509, 11669.730890116267, 11669.852147851723, 811.5908116113932, 1837.1260408458274, 4950.269608979492, 693.7355693611341]","[1.1069767651660831, 10.85836919651803, 0.8352678479664347, 0.2763307103891993, 0.2443326709454525, 0.19448769140008187, 0.18917402216338203]",316.0
82mm_152Eu.Spe,"[25340.69646319586, 3271.5494378493786, 7011.395876527102, 1326.989760170652, 1117.798665807286, 714.2570584324602, 866.6090280849211, 1007.6402464979127]","[0.5921332294777065, 0.2881214174842896, 0.17642766306851038, 0.06848514923882362, 0.05109477395859297, 0.04671882483351633, 0.042429894310006024, 0.03202893988094236]",305.0
82mm_241Am.Spe,"[6058.568833939894, 155669.5187310548]","[0.40594791335849145, 0.6965254966865995]",169.0
82mm_60Co.Spe,"[13341.202350061722, 11422.477015035793]","[0.05564557589150817, 0.0004763693788731868]",614.0
82mm_New_152Eu.Spe,"[328342.7346110656, 42347.89732082232, 90393.0115408051, 16904.618574107713, 14376.516654359097, 9117.35675647357, 11461.337655122716, 12798.056382690103]","[0.6010993545441979, 0.2921943880952896, 0.1782030005270153, 0.06835214923710527, 0.051485452141445245, 0.04672230734169294, 0.043964487212344895, 0.031871245960824274]",3893.0
82mm_New_60Co.Spe,"[23609.897719351935, 20331.290020571236]","[0.0556249276065009, 0.0004789477780870273]",1087.0
